athlete_id,athlete_display_name,stat,line,season_avg,season_std,games_played,games_over,hit_rate_season,hit_rate_L5,hit_rate_L10,hit_rate_home,hit_rate_away,prob_empirical,prob_poisson,prob_normal,prob_ensemble,confidence,edge_direction,edge_strength
4433690,Holly Winterburn,assists,4.5,1.6428571428571428,1.9456912102680337,14,1,0.07142857142857142,0.0,0.0,0.2,0.0,0.07142857142857142,0.026121474236908727,0.07099153045894976,0.05618052537480997,High,UNDER,Strong
4433690,Holly Winterburn,assists,5.5,1.6428571428571428,1.9456912102680337,14,1,0.07142857142857142,0.0,0.0,0.2,0.0,0.07142857142857142,0.006831397115435546,0.023717112549275762,0.03399236036442758,High,UNDER,Strong
4433690,Holly Winterburn,assists,6.5,1.6428571428571428,1.9456912102680337,14,1,0.07142857142857142,0.0,0.0,0.2,0.0,0.07142857142857142,0.0015495902845559767,0.006273785316550393,0.026417315676559264,High,UNDER,Strong
4433690,Holly Winterburn,assists,7.5,1.6428571428571428,1.9456912102680337,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030998255894138535,0.0013048856627601085,0.0005382894072338312,High,UNDER,Strong
4433690,Holly Winterburn,assists,8.5,1.6428571428571428,1.9456912102680337,14,0,0.0,0.0,0.0,0.0,0.0,0.0,5.542025814553157e-05,0.00021232495124760156,8.924840313104439e-05,High,UNDER,Strong
4433690,Holly Winterburn,PRA,12.5,4.571428571428571,4.070801956792859,14,1,0.07142857142857142,0.0,0.0,0.2,0.0,0.07142857142857142,0.0009263772670878493,0.025727340084006418,0.03269409625988856,High,UNDER,Strong
4433690,Holly Winterburn,PRA,15.5,4.571428571428571,4.070801956792859,14,1,0.07142857142857142,0.0,0.0,0.2,0.0,0.07142857142857142,2.442860523628722e-05,0.003630575342069008,0.02502785845862557,High,UNDER,Strong
4433690,Holly Winterburn,PRA,18.5,4.571428571428571,4.070801956792859,14,0,0.0,0.0,0.0,0.0,0.0,0.0,3.8153972276718846e-07,0.0003112929104460167,0.00010389148338959463,High,UNDER,Strong
4433690,Holly Winterburn,PRA,20.5,4.571428571428571,4.070801956792859,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.8506463400868112e-08,4.560038015900467e-05,1.5206295540801844e-05,High,UNDER,Strong
4433690,Holly Winterburn,PRA,22.5,4.571428571428571,4.070801956792859,14,0,0.0,0.0,0.0,0.0,0.0,0.0,7.485140401649678e-10,5.309075985049199e-06,1.7699414996964547e-06,High,UNDER,Strong
